esp,archi,spiegati_medi,quota_archi,quota_spiegata
113,191,14.041884816753926,0.0002718423940348385,0.124264467404902
114,162,13.765432098765432,0.00023056789441698347,0.12074940437513537
115,181,13.408839779005525,0.00025760980795971606,0.1165986067739611
116,176,13.784090909090908,0.00025049351492215484,0.1188283699059561
117,153,15.248366013071895,0.00021775856694937327,0.13032791464164012
118,165,14.727272727272727,0.0002348376702395202,0.12480739599383667
119,174,14.275862068965518,0.00024764699770713037,0.11996522747029847
120,160,14.225,0.00022772137720195897,0.11854166666666667
121,178,12.337078651685394,0.0002533400321371794,0.10195932769987928
122,149,13.100671140939598,0.0002120655325193243,0.10738255033557048
123,140,12.514285714285714,0.0001992562050517141,0.10174216027874565
124,141,12.042553191489361,0.00020067946365922635,0.09711736444749484
125,139,12.057553956834532,0.00019783294644420185,0.09646043165467626
126,133,14.075187969924812,0.00018929339479912839,0.11170784103114931
127,134,16.03731343283582,0.00019071665340664065,0.1262780585262663
128,149,13.731543624161073,0.0002120655325193243,0.10727768456375839
129,143,17.181818181818183,0.00020352598087425083,0.1331923890063425
130,123,16.097560975609756,0.00017506080872400597,0.12382739212007504
131,123,15.536585365853659,0.00017506080872400597,0.11859988828895923
132,121,15.661157024793388,0.00017221429150898147,0.11864512897570749
133,128,15.921875,0.0001821771017615672,0.11971334586466166
134,104,17.278846153846153,0.00014801889518127332,0.12894661308840413
135,121,17.198347107438018,0.00017221429150898147,0.12739516375880014
136,104,15.846153846153847,0.00014801889518127332,0.1165158371040724
137,123,16.504065040650406,0.00017506080872400597,0.12046762803394458
138,112,15.803571428571429,0.0001594049640413713,0.11451863354037267
139,116,17.56896551724138,0.00016509799847142024,0.12639543537583728
140,83,18.903614457831324,0.00011813046442351621,0.13502581755593804
141,108,19.166666666666668,0.0001537119296113223,0.1359338061465721
142,94,15.712765957446809,0.0001337863091061509,0.11065328139047048
143,73,18.068493150684933,0.00010389787834839379,0.12635309895583868
144,96,19.739583333333332,0.0001366328263211754,0.1370804398148148
145,106,15.820754716981131,0.00015086541239629783,0.10910865322055953
146,76,17.657894736842106,0.00010816765417093052,0.12094448449891854
147,79,15.49367088607595,0.00011243742999346725,0.10539912167398606
148,105,17.761904761904763,0.00014944215378878556,0.12001287001287002
149,86,17.53488372093023,0.00012240024024605294,0.11768378336194786
150,81,14.716049382716049,0.00011528394720849174,0.09810699588477366
151,93,16.72043010752688,0.00013236305049863864,0.1107313252154098
152,88,18.943181818181817,0.00012524675746107742,0.1246261961722488
153,89,18.629213483146067,0.0001266700160685897,0.1217595652493207
154,65,22.584615384615386,9.251180948829583e-05,0.14665334665334667
155,76,17.05263157894737,0.00010816765417093052,0.11001697792869271
156,77,23.948051948051948,0.00010959091277844275,0.1535131535131535
157,74,16.31081081081081,0.00010532113695590602,0.10389051471854019
158,65,20.276923076923076,9.251180948829583e-05,0.12833495618305743
159,50,19.5,7.116293037561218e-05,0.12264150943396226
160,71,21.788732394366196,0.0001010513611333693,0.13617957746478873
161,69,17.27536231884058,9.82048439183448e-05,0.10730038707354396
162,55,19.563636363636363,7.827922341317339e-05,0.12076318742985409
163,64,21.421875,9.10885508807836e-05,0.13142254601226994
164,54,18.037037037037038,7.685596480566115e-05,0.10998193315266487
165,65,18.153846153846153,9.251180948829583e-05,0.11002331002331002
166,54,18.833333333333332,7.685596480566115e-05,0.11345381526104417
167,53,19.132075471698112,7.543270619814891e-05,0.114563326177833
168,61,25.83606557377049,8.681877505824685e-05,0.15378610460577674
169,47,15.25531914893617,6.689315455307545e-05,0.09026816064459273
170,52,21.53846153846154,7.400944759063666e-05,0.12669683257918554
171,48,18.75,6.83164131605877e-05,0.10964912280701754
172,46,20.73913043478261,6.54698959455632e-05,0.1205763397371082
173,44,22.431818181818183,6.262337873053871e-05,0.12966368891224384
174,52,19.884615384615383,7.400944759063666e-05,0.11427939876215737
175,44,18.15909090909091,6.262337873053871e-05,0.10376623376623377
176,53,24.943396226415093,7.543270619814891e-05,0.1417238421955403
177,55,21.09090909090909,7.827922341317339e-05,0.11915767847971237
178,40,19.475,5.693034430048974e-05,0.10941011235955057
179,48,19.916666666666668,6.83164131605877e-05,0.11126629422718809
180,34,16.058823529411764,4.839079265541628e-05,0.0892156862745098
181,41,19.414634146341463,5.835360290800199e-05,0.1072631720792346
182,33,22.272727272727273,4.6967534047904037e-05,0.12237762237762238
183,38,20.86842105263158,5.408382708546526e-05,0.11403508771929824
184,42,22.80952380952381,5.977686151551423e-05,0.1239648033126294
185,43,24.0,6.120012012302647e-05,0.12972972972972974
186,39,20.641025641025642,5.5507085692977497e-05,0.11097325613454646
187,27,19.185185185185187,3.842798240283058e-05,0.10259457318280849
188,42,22.571428571428573,5.977686151551423e-05,0.12006079027355623
189,43,30.348837209302324,6.120012012302647e-05,0.16057585825027684
190,37,24.513513513513512,5.266056847795301e-05,0.12901849217638692
191,33,28.696969696969695,4.6967534047904037e-05,0.1502459146438204
192,24,19.375,3.415820658029385e-05,0.10091145833333333
193,25,18.24,3.558146518780609e-05,0.09450777202072538
194,31,21.516129032258064,4.412101683287955e-05,0.11090788160957765
195,25,37.04,3.558146518780609e-05,0.18994871794871795
196,37,22.054054054054053,5.266056847795301e-05,0.11252068394925537
197,29,23.17241379310345,4.127449961785506e-05,0.11762646595483985
198,30,30.266666666666666,4.269775822536731e-05,0.15286195286195287
199,30,32.9,4.269775822536731e-05,0.16532663316582913
200,26,22.192307692307693,3.700472379531833e-05,0.11096153846153847
201,31,20.387096774193548,4.412101683287955e-05,0.10142834216016691
202,13,33.84615384615385,1.8502361897659166e-05,0.16755521706016757
203,29,41.172413793103445,4.127449961785506e-05,0.20281977237981993
204,23,31.17391304347826,3.27349479727816e-05,0.15281329923273657
205,24,17.916666666666668,3.415820658029385e-05,0.08739837398373984
206,26,43.07692307692308,3.700472379531833e-05,0.20911127707244215
207,17,32.11764705882353,2.419539632770814e-05,0.15515771526001704
208,25,23.36,3.558146518780609e-05,0.1123076923076923
209,19,37.94736842105263,2.704191354273263e-05,0.18156635608159152
210,19,31.105263157894736,2.704191354273263e-05,0.1481203007518797
211,20,24.65,2.846517215024487e-05,0.11682464454976303
212,21,21.476190476190474,2.9888430757757117e-05,0.1013027852650494
213,18,26.833333333333332,2.5618654935220383e-05,0.12597809076682315
214,20,33.15,2.846517215024487e-05,0.15490654205607476
215,16,25.6875,2.27721377201959e-05,0.11947674418604651
216,23,35.04347826086956,3.27349479727816e-05,0.16223832528180354
217,23,26.695652173913043,3.27349479727816e-05,0.12302143858946103
218,19,41.89473684210526,2.704191354273263e-05,0.19217769193626266
219,20,20.55,2.846517215024487e-05,0.09383561643835617
220,19,31.736842105263158,2.704191354273263e-05,0.1442583732057416
221,13,15.461538461538462,1.8502361897659166e-05,0.06996171249564914
222,14,39.57142857142857,1.992562050517141e-05,0.17824967824967825
223,21,29.61904761904762,2.9888430757757117e-05,0.1328208413410207
224,20,35.2,2.846517215024487e-05,0.15714285714285717
225,23,28.52173913043478,3.27349479727816e-05,0.12676328502415457
226,19,21.31578947368421,2.704191354273263e-05,0.09431765253842571
227,23,30.47826086956522,3.27349479727816e-05,0.13426546638574985
228,23,28.47826086956522,3.27349479727816e-05,0.12490465293668955
229,12,40.416666666666664,1.7079103290146923e-05,0.17649199417758368
230,18,31.88888888888889,2.5618654935220383e-05,0.1386473429951691
231,17,35.705882352941174,2.419539632770814e-05,0.1545709192768016
232,22,31.681818181818183,3.1311689365269355e-05,0.13655956112852666
233,13,32.30769230769231,1.8502361897659166e-05,0.13865962363816442
234,15,46.86666666666667,2.1348879112683653e-05,0.20028490028490029
235,14,34.785714285714285,1.992562050517141e-05,0.1480243161094225
236,19,35.63157894736842,2.704191354273263e-05,0.15098126672613738
237,13,57.0,1.8502361897659166e-05,0.24050632911392406
238,16,33.25,2.27721377201959e-05,0.13970588235294118
239,15,31.933333333333334,2.1348879112683653e-05,0.13361227336122733
240,19,36.578947368421055,2.704191354273263e-05,0.1524122807017544
241,10,23.6,1.4232586075122436e-05,0.0979253112033195
242,16,39.875,2.27721377201959e-05,0.16477272727272727
243,9,25.22222222222222,1.2809327467610192e-05,0.10379515317786922
244,15,37.06666666666667,2.1348879112683653e-05,0.15191256830601094
245,9,33.44444444444444,1.2809327467610192e-05,0.1365079365079365
246,13,25.384615384615383,1.8502361897659166e-05,0.10318949343339587
247,13,39.07692307692308,1.8502361897659166e-05,0.1582061663033323
248,9,27.22222222222222,1.2809327467610192e-05,0.10976702508960573
249,8,67.375,1.138606886009795e-05,0.27058232931726905
250,8,43.875,1.138606886009795e-05,0.1755
251,8,39.25,1.138606886009795e-05,0.15637450199203187
252,8,58.25,1.138606886009795e-05,0.23115079365079366
253,9,47.111111111111114,1.2809327467610192e-05,0.18620992534036013
254,9,30.22222222222222,1.2809327467610192e-05,0.1189851268591426
255,10,24.0,1.4232586075122436e-05,0.09411764705882353
256,13,31.76923076923077,1.8502361897659166e-05,0.1240985576923077
257,10,51.7,1.4232586075122436e-05,0.20116731517509728
258,9,47.77777777777778,1.2809327467610192e-05,0.18518518518518517
259,5,41.6,7.116293037561218e-06,0.16061776061776062
260,12,39.333333333333336,1.7079103290146923e-05,0.1512820512820513
261,9,38.55555555555556,1.2809327467610192e-05,0.14772243507875693
262,16,48.75,2.27721377201959e-05,0.18606870229007633
263,6,24.666666666666668,8.539551645073462e-06,0.09378960709759189
264,11,51.18181818181818,1.5655844682634678e-05,0.19387052341597796
265,11,37.81818181818182,1.5655844682634678e-05,0.14271012006861064
266,9,45.22222222222222,1.2809327467610192e-05,0.17000835421888053
267,8,23.125,1.138606886009795e-05,0.08661048689138577
268,5,32.4,7.116293037561218e-06,0.1208955223880597
269,6,45.0,8.539551645073462e-06,0.16728624535315986
270,4,65.25,5.693034430048975e-06,0.24166666666666667
271,10,28.9,1.4232586075122436e-05,0.1066420664206642
272,4,38.75,5.693034430048975e-06,0.14246323529411764
273,11,48.72727272727273,1.5655844682634678e-05,0.1784881784881785
274,10,27.5,1.4232586075122436e-05,0.10036496350364964
275,7,52.714285714285715,9.962810252585706e-06,0.19168831168831169
276,10,55.5,1.4232586075122436e-05,0.20108695652173914
277,5,50.8,7.116293037561218e-06,0.18339350180505415
278,5,36.0,7.116293037561218e-06,0.12949640287769784
279,7,44.857142857142854,9.962810252585706e-06,0.16077828981054787
280,10,30.0,1.4232586075122436e-05,0.10714285714285714
281,11,60.36363636363637,1.5655844682634678e-05,0.2148172112584924
282,9,25.444444444444443,1.2809327467610192e-05,0.09022852639873916
