decennio,genere_musicale,quota_legami_intra_genere,artisti,donne,uomini,quota_donne,legami,legami_FF,legami_MM,legami_MF,grado_medio_relativo_F,densita_FF,densita_MM,densita_MF,FF_su_MF,FF_su_MF_lo,FF_su_MF_hi,MM_su_MF,MM_su_MF_lo,MM_su_MF_hi,FF_su_MM,oe_FF_grado,z_FF_grado,oe_MM_grado,z_MM_grado,oe_MF_grado,z_MF_grado,affidabile
1980,Jazz,0.5283885176751651,444,33,411,0.07432432432432433,1200,5,1040,155,0.925,0.00946969696969697,0.012343481099044568,0.0114281501142815,0.8286290322580646,0.3400893613761652,2.0189578125070335,1.0800944138473643,0.9123725494998307,1.2786486654643678,0.7671820367132867,0.9025270758122743,-0.23812159467555646,1.0026899085045458,0.21545765841743023,0.985691573926868,-0.1760251550817673,False
1980,Stage & Screen,0.5283885176751651,105,18,87,0.17142857142857143,149,4,122,23,0.6068232662192394,0.026143790849673203,0.03261160117615611,0.014687100893997445,1.7800511508951409,0.6155980012423741,5.1471611236690435,2.2204246713852376,1.422119956326658,3.46685643455225,0.8016714882674382,1.737619461337967,1.2690112457937766,1.0662657973395793,1.8185841707139545,0.7125154894671623,-2.1016897748114274,False
1990,(all genres),0.6855921248881376,18157,1927,16230,0.10612986726882194,90513,1282,74857,14374,0.881624300387635,0.000690844053002073,0.0005683974668320598,0.0004595972337196137,1.5031510251072049,1.4196830810691135,1.5915263303548837,1.2367295212634413,1.2148512200194865,1.259001829656118,1.2154242291973332,1.5950868339392674,12.720815956827986,1.0075405168386609,2.242070866657951,0.9326185377366631,-4.571739178136558,True
1990,Electronic,0.6855921248881376,5947,755,5192,0.12695476710946696,40448,637,32928,6883,0.7942448386023555,0.002237953870746746,0.0024434847678466848,0.0017558852641353484,1.2745444799030095,1.1751746997627008,1.3823167156162017,1.3915970580514732,1.3559132684206914,1.42821994376758,0.9158861557868182,1.5017068064802066,5.853991186459805,1.0106614842027974,1.4579985312149821,0.9247399026275619,-2.6701492541910117,True
1990,Rock,0.6855921248881376,2999,133,2866,0.04434811603867956,6775,28,6249,498,0.9219243681158616,0.003189792663476874,0.0015220878105099323,0.0013064762394471873,2.441523670439333,1.6685358588563217,3.572615956483834,1.1650329064950904,1.0634166880706317,1.276359199966069,2.0956692783764064,2.460456942003515,5.016238838672265,1.003775442149509,1.1804724708170093,0.9254372598137232,-2.002709777638395,True
1990,Pop,0.6855921248881376,2391,344,2047,0.1438728565453785,9600,270,7221,2109,0.9589630268895347,0.004576581463150044,0.0034482906821655898,0.002995023914747617,1.5280617428845142,1.346236317345559,1.7344448816172493,1.151339949302598,1.0968179735917594,1.2085721703841235,1.3272029202236126,1.510523312409788,7.874744118203538,1.0114315152591553,3.1087055581996794,0.9242427695204105,-5.7990467606753775,True
1990,"Folk, World, & Country",0.6855921248881376,622,55,567,0.08842443729903537,1052,9,913,130,0.7955063947459385,0.006060606060606061,0.005689856102105807,0.004168670835337502,1.453846153846154,0.7398130771527295,2.8570306531860648,1.3649089426474585,1.135817922378191,1.6402069249077156,1.0651598128049389,1.7543859649122808,1.8296189121840694,1.0015137886400034,0.4053430450830993,0.9611829944547134,-1.0972490943300917,False
1990,Classical,0.6855921248881376,615,109,506,0.1772357723577236,1020,32,713,275,0.9376011872638964,0.0054366292898402994,0.005580558055805581,0.00498603909054647,1.0903703703703704,0.7561093666248991,1.5724015559926638,1.1192367236723673,0.9738637310686672,1.2863101927435139,0.9742088937117053,1.093269559275709,0.590252903310168,1.0155248540094004,1.151721037901189,0.952776911616949,-1.2301030765864083,True
1990,Jazz,0.6855921248881376,603,42,561,0.06965174129353234,1567,10,1430,127,0.6734205488194002,0.011614401858304297,0.009103641456582634,0.005390034801799508,2.154791626656424,1.131957119346477,4.101857636611974,1.688976377952756,1.4086642710422892,2.0250681897196867,1.275797373358349,2.6666666666666665,3.460480753672332,1.0070621110838804,1.4964659824632007,0.886388698893061,-2.2399667723054746,True
1990,Hip Hop,0.6855921248881376,252,10,242,0.03968253968253968,1082,7,945,130,1.676894639556377,0.15555555555555556,0.032406296080381335,0.05371900826446281,2.8957264957264957,1.3535655531906454,6.194921197785104,0.6032556654963295,0.502198045184992,0.724649172657303,4.800164609053498,1.9305019305019306,1.9840511108591823,0.9904995891260964,-0.6524919745113955,1.045772665111415,0.4203271325919042,False
