musical_genre,cohort_decade,n_artisti,n_noti,n_donne,quota_donne,ci_lo,ci_hi,rapporto_uomini_donne
Jazz,2010,373,322.0,54.0,0.16770186335403728,0.13086493432718485,0.2123742346432597,4.962962962962963
Jazz,2020,85,67.0,18.0,0.26865671641791045,0.1772206517897013,0.3851833594127559,2.7222222222222223
Latin,1940,32,11.0,6.0,0.5454545454545454,0.28008775568998817,0.7872904245601196,0.8333333333333334
Latin,1950,69,28.0,2.0,0.07142857142857142,0.019811647447770794,0.2264573842591786,13.0
Latin,1960,83,37.0,5.0,0.13513513513513514,0.059132072625076235,0.2797772747070557,6.4
Latin,1970,33,20.0,1.0,0.05,0.008881219432873136,0.23613589351256675,19.0
Latin,1980,49,28.0,2.0,0.07142857142857142,0.019811647447770794,0.2264573842591786,13.0
Latin,1990,83,50.0,10.0,0.2,0.11243629945973886,0.3303737210448524,4.0
Latin,2000,55,37.0,11.0,0.2972972972972973,0.17489302346408198,0.45783439172043583,2.3636363636363638
Latin,2010,17,9.0,1.0,0.1111111111111111,0.019890371327130535,0.4350062147680601,8.0
Latin,2020,9,4.0,2.0,0.5,0.15003570882017148,0.8499642911798285,1.0
Non-Music,1940,31,20.0,4.0,0.2,0.0806563532712,0.41602172202575993,4.0
Non-Music,1950,137,132.0,24.0,0.18181818181818182,0.12533423590114978,0.2562984892728764,4.5
Non-Music,1960,183,171.0,30.0,0.17543859649122806,0.12574284572144823,0.23939680067849317,4.7
Non-Music,1970,58,56.0,13.0,0.23214285714285715,0.1409924724565329,0.35768403351924316,3.3076923076923075
Non-Music,1980,14,12.0,4.0,0.3333333333333333,0.13811783989736134,0.609382412602386,2.0
Non-Music,1990,36,26.0,4.0,0.15384615384615385,0.06149933998929477,0.33531584418313565,5.5
Non-Music,2000,14,7.0,0.0,0.0,0.0,0.35433884297520657,
Non-Music,2010,10,5.0,1.0,0.2,0.03622316096978745,0.6244717358814613,4.0
Non-Music,2020,5,4.0,0.0,0.0,0.0,0.48990002040399916,
Pop,1940,336,259.0,25.0,0.09652509652509653,0.06623683512174897,0.13860745132301472,9.36
Pop,1950,719,491.0,74.0,0.15071283095723015,0.1217851945825887,0.18506370413570827,5.635135135135135
Pop,1960,1895,1379.0,256.0,0.18564176939811458,0.16600300517181568,0.20702713797690073,4.38671875
Pop,1970,1709,1436.0,222.0,0.15459610027855153,0.1368212481698152,0.17421407682704557,5.468468468468468
Pop,1980,1644,1447.0,228.0,0.1575673807878369,0.13970452618813825,0.1772436506493608,5.3464912280701755
