step,seconds
figura f8_posizione_per_genere,0.23
figura f9_ergm_forest_gender,0.0
figura f10_montecarlo_genere,0.06
figura f11_sensibilita,0.05
figura f12_ergm_gof,0.09
figura f1_mixing_gender_oss_att,0.06
figura f2_mixing_genere_musicale_oss_att,0.09
figura f3_quota_donne_per_decennio,0.11
figura f4_quota_donne_genere_x_decennio,0.18
figura f5_distribuzione_gradi,0.2
figura f6_assortativita_per_strato,0.05
figura f7_omofilia_per_genere_musicale,0.08
figura f8_posizione_per_genere,0.22
figura f9_ergm_forest_gender,0.0
figura f10_montecarlo_genere,0.06
figura f11_sensibilita,0.05
figura f12_ergm_gof,0.1
assortativita' solo M/F,446.53
figura f1_mixing_gender_oss_att,0.07
figura f2_mixing_genere_musicale_oss_att,0.1
figura f3_quota_donne_per_decennio,0.11
figura f4_quota_donne_genere_x_decennio,0.19
figura f5_distribuzione_gradi,0.19
figura f6_assortativita_per_strato,0.05
figura f7_omofilia_per_genere_musicale,0.08
figura f8_posizione_per_genere,0.28
figura f9_ergm_forest_gender,0.0
figura f10_montecarlo_genere,0.08
figura f11_sensibilita,0.08
figura f12_ergm_gof,0.16
composizione report,4.61
compilazione HTML/PDF,7.85
ERGM genere_Electronic,1485.74
ERGM genere_Rock,3183.31
ERGM genere_Pop,1170.68
ERGM genere_Folk_World_&_Country,1643.71
ERGM genere_Classical,926.47
ERGM epoca_pre2000,880.26
ERGM epoca_post2000,1612.05
ERGM complessiva,1573.39
figura f1_mixing_gender_oss_att,0.05
figura f2_mixing_genere_musicale_oss_att,0.08
figura f3_quota_donne_per_decennio,0.09
figura f4_quota_donne_genere_x_decennio,0.15
figura f5_distribuzione_gradi,0.16
figura f6_assortativita_per_strato,0.04
figura f7_omofilia_per_genere_musicale,0.06
figura f8_posizione_per_genere,0.19
figura f9_ergm_forest_gender,0.04
figura f10_montecarlo_genere,0.05
figura f11_sensibilita,0.04
figura f12_ergm_gof,0.31
composizione report,3.79
compilazione HTML/PDF,8.02
figura f1_mixing_gender_oss_att,0.05
figura f2_mixing_genere_musicale_oss_att,0.08
figura f3_quota_donne_per_decennio,0.1
figura f4_quota_donne_genere_x_decennio,0.15
figura f5_distribuzione_gradi,0.17
figura f6_assortativita_per_strato,0.04
figura f7_omofilia_per_genere_musicale,0.06
figura f8_posizione_per_genere,0.19
figura f9_ergm_forest_gender,0.04
figura f10_montecarlo_genere,0.06
figura f11_sensibilita,0.04
figura f12_ergm_gof,0.3
wikidata_blocco_B_italiani,214.42
null model gender (500 repliche),16.63
null model musical_genre (500 repliche),16.62
mixing e assortativita' globale,33.68
quota donne,0.13
assortativita' per strato,188.2
omofilia per genere musicale,15.91
figura f1_mixing_gender_oss_att,0.05
figura f2_mixing_genere_musicale_oss_att,0.07
figura f3_quota_donne_per_decennio,0.09
figura f4_quota_donne_genere_x_decennio,0.15
figura f5_distribuzione_gradi,0.17
figura f6_assortativita_per_strato,0.04
figura f7_omofilia_per_genere_musicale,0.06
figura f8_posizione_per_genere,0.18
figura f9_ergm_forest_gender,0.04
figura f10_montecarlo_genere,0.05
figura f11_sensibilita,0.05
figura f12_ergm_gof,0.31
composizione report,3.84
compilazione HTML/PDF,8.06
esportazione dataset,75.79
"copia di tabelle, figure, log e codice",0.03
checksum,1.24
archivio tar.gz,24.95
